City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Yellowknife,CA,2021-12-01 02:36:05,62.456,-114.3525,-16.08,76,90,13.8
153,Paamiut,GL,2021-12-01 02:36:06,61.994,-49.6678,42.76,82,100,35.16
154,Cayenne,GF,2021-12-01 02:36:06,4.9333,-52.3333,76.08,91,90,0.0
155,Naliya,IN,2021-12-01 02:36:06,23.2667,68.8333,73.62,53,67,11.16
156,Hasaki,JP,2021-12-01 02:32:58,35.7333,140.8333,66.6,62,86,22.84
157,Ende,ID,2021-12-01 02:36:07,-8.8432,121.6623,84.9,73,100,5.39
158,De Aar,ZA,2021-12-01 02:36:08,-30.6497,24.0123,60.13,54,0,4.92
159,Formosa Do Rio Preto,BR,2021-12-01 02:36:08,-11.0483,-45.1931,70.16,93,99,1.48
160,Chengde,CN,2021-12-01 02:36:08,40.9725,117.9361,32.95,33,0,10.27
161,Nena,PH,2021-12-01 02:36:08,11.7658,125.4178,86.92,65,100,6.76
162,Ribeira Grande,PT,2021-12-01 02:36:09,38.5167,-28.7,62.69,76,48,7.61
163,Virginia Beach,US,2021-12-01 02:35:10,36.8529,-75.978,51.82,49,1,1.01
164,Clarksdale,US,2021-12-01 02:36:09,34.2001,-90.5709,54.91,87,40,5.75
165,Saint Anthony,US,2021-12-01 02:36:10,45.0205,-93.218,39.7,56,75,1.99
166,Nishihara,JP,2021-12-01 02:36:10,26.1842,127.7558,65.86,55,75,25.32
167,Vao,NC,2021-12-01 02:36:10,-22.6667,167.4833,76.84,87,3,20.0
168,Ginda,IN,2021-12-01 02:36:11,30.6945,78.4932,53.46,22,100,1.88
169,Torbay,CA,2021-12-01 02:32:06,47.6666,-52.7314,40.57,86,40,25.32
170,Yumen,CN,2021-12-01 02:36:11,40.2833,97.2,23.36,54,92,17.9
171,Aklavik,CA,2021-12-01 02:36:12,68.2191,-135.0107,-22.97,99,59,3.8
172,Bay Roberts,CA,2021-12-01 02:36:12,47.5999,-53.2648,41.32,85,42,11.01
173,Rjukan,NO,2021-12-01 02:33:22,59.8789,8.5941,20.05,88,100,3.2
174,Jatai,BR,2021-12-01 02:36:12,-17.8814,-51.7144,70.05,94,60,4.12
175,San Carlos De Bariloche,AR,2021-12-01 02:36:04,-41.1456,-71.3082,56.95,51,0,16.11
176,San Cristobal,VE,2021-12-01 02:36:13,7.7669,-72.225,71.78,92,44,1.72
177,Namibe,AO,2021-12-01 02:36:13,-15.1961,12.1522,68.27,85,100,2.64
178,Gardner,US,2021-12-01 02:36:14,42.5751,-71.9981,32.59,79,40,5.75
179,Ballina,AU,2021-12-01 02:36:14,-28.8667,153.5667,73.58,93,90,8.05
180,Ilulissat,GL,2021-12-01 02:36:14,69.2167,-51.1,22.6,78,94,11.05
181,Obukhiv,UA,2021-12-01 02:36:15,50.11,30.6227,31.82,94,100,12.15
182,Nuoro,IT,2021-12-01 02:36:15,40.3211,9.3297,47.46,91,96,9.55
183,Portland,US,2021-12-01 02:35:22,45.5234,-122.6762,58.33,87,90,1.99
184,Katsuura,JP,2021-12-01 02:36:56,35.1333,140.3,69.91,58,91,33.87
185,Alofi,NU,2021-12-01 02:37:16,-19.0595,-169.9187,84.09,61,75,19.57
186,Touros,BR,2021-12-01 02:35:02,-5.1989,-35.4608,81.5,79,51,10.16
187,Zhovtneve,UA,2021-12-01 02:37:16,50.6637,24.2492,33.62,96,100,17.07
188,Sao Filipe,CV,2021-12-01 02:37:16,14.8961,-24.4956,73.81,69,100,11.79
189,Kahului,US,2021-12-01 02:37:17,20.8947,-156.47,84.22,69,20,11.5
190,Djibo,BF,2021-12-01 02:37:17,14.1022,-1.6306,75.13,9,0,9.22
191,Luderitz,NA,2021-12-01 02:37:17,-26.6481,15.1594,59.14,81,0,13.76
192,Buala,SB,2021-12-01 02:37:18,-8.145,159.5921,84.34,67,100,3.85
193,Saint-Pierre,RE,2021-12-01 02:37:18,-21.3393,55.4781,76.68,74,90,12.66
194,Sitka,US,2021-12-01 02:37:19,57.0531,-135.33,42.69,75,75,16.11
195,Aswan,EG,2021-12-01 02:37:19,24.0934,32.907,70.9,32,0,5.75
196,Honiara,SB,2021-12-01 02:37:19,-9.4333,159.95,83.5,79,100,3.8
197,Codrington,AU,2021-12-01 02:37:20,-38.2667,141.9667,69.13,64,9,12.57
198,Cabo San Lucas,MX,2021-12-01 02:37:20,22.8909,-109.9124,78.51,70,40,3.44
199,Coihaique,CL,2021-12-01 02:35:17,-45.5752,-72.0662,52.41,66,0,4.61
200,Lekoni,GA,2021-12-01 02:37:21,-1.5843,14.2591,73.96,85,93,1.68
201,Arraial Do Cabo,BR,2021-12-01 02:37:21,-22.9661,-42.0278,73.63,90,100,11.36
202,Antofagasta,CL,2021-12-01 02:37:21,-23.65,-70.4,63.68,81,20,4.38
203,Northam,GB,2021-12-01 02:37:22,51.0333,-4.2167,50.61,86,63,28.92
204,Ellisras,ZA,2021-12-01 02:37:22,-23.6649,27.7443,71.35,62,0,4.36
205,Pimenta Bueno,BR,2021-12-01 02:37:22,-11.6725,-61.1936,74.01,96,100,2.53
206,Xichang,CN,2021-12-01 02:37:23,27.8964,102.2634,53.46,74,100,2.98
207,Ahuimanu,US,2021-12-01 02:37:23,21.4447,-157.8378,83.91,67,40,12.66
208,Pacifica,US,2021-12-01 02:37:23,37.6138,-122.4869,65.75,71,20,1.01
209,Harper,LR,2021-12-01 02:37:24,4.375,-7.7169,78.13,86,90,4.97
210,Fortuna,US,2021-12-01 02:37:24,40.5982,-124.1573,51.66,72,75,0.0
211,Atar,MR,2021-12-01 02:37:24,20.5169,-13.0499,68.41,18,100,11.07
212,Port Elizabeth,ZA,2021-12-01 02:37:25,-33.918,25.5701,63.1,89,55,3.96
213,Eureka,US,2021-12-01 02:35:23,40.8021,-124.1637,52.25,93,16,1.01
